Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,TFL %,Explosive %,First Down %,Team,G,GS,1D,Y/G,Rush Yards AC,TFL Rush,Explosive Rush,First Down Rush
Terrell Jennings,RB,5,-0.25,-1.25,13,0,2.6,2.4,20.0,,,NWE,2,0,0,6.5,12.0,1.0,0.0,0.0
Jonathan Ward,RB,5,0.04,0.2,22,0,4.4,3.4,,,20.0,PIT,4,0,1,5.5,17.0,0.0,0.0,1.0
Brock Bowers,TE,5,-0.01,-0.05,13,0,2.6,3.6,20.0,20.0,40.0,LVR,16,15,2,0.8,18.0,1.0,1.0,2.0
Ashton Dulin,WR,5,0.61,3.05,45,0,9.0,4.2,,40.0,40.0,IND,14,2,2,3.2,21.0,0.0,2.0,2.0
Malik Nabers,WR,5,-0.11,-0.55,2,0,0.4,1.4,40.0,,20.0,NYG,14,12,1,0.1,7.0,2.0,0.0,1.0
Curtis Samuel,WR,5,-0.38,-1.9,14,0,2.8,1.0,20.0,,,BUF,13,1,0,1.1,5.0,1.0,0.0,0.0
Malik Washington,WR,5,0.45,2.25,25,1,5.0,3.6,,20.0,20.0,MIA,13,3,1,1.9,18.0,0.0,1.0,1.0
Mecole Hardman,WR,5,1.13,5.65,62,1,12.4,3.6,,40.0,40.0,KAN,12,0,2,5.2,18.0,0.0,2.0,2.0
Kyle Juszczyk,FB,5,-1.46,-7.3,26,1,5.2,3.4,20.0,20.0,20.0,SFO,16,14,1,1.6,17.0,1.0,1.0,1.0
Blake Watson,RB,4,-0.04,-0.16,10,0,2.5,1.75,25.0,,50.0,DEN,2,0,2,5.0,7.0,1.0,0.0,2.0
Christian Watson,WR,4,0.13,0.52,23,0,5.75,1.5,25.0,25.0,25.0,GNB,14,14,1,1.6,6.0,1.0,1.0,1.0
Jaxon Smith-Njigba,WR,4,0.13,0.52,22,0,5.5,4.5,,,25.0,SEA,16,15,1,1.4,18.0,0.0,0.0,1.0
Devin Duvernay,WR,4,-0.27,-1.08,3,0,0.75,3.75,25.0,,25.0,JAX,12,1,1,0.3,15.0,1.0,0.0,1.0
Greg Dortch,WR,4,0.49,1.96,24,0,6.0,1.5,,,25.0,ARI,16,4,1,1.5,6.0,0.0,0.0,1.0
Adonai Mitchell,WR,4,-2.2,-8.8,6,0,1.5,1.5,25.0,,25.0,IND,16,7,1,0.4,6.0,1.0,0.0,1.0
Darrynton Evans,RB,3,-0.43,-1.29,3,0,1.0,1.33,33.3,,,CHI,4,0,0,0.8,3.99,1.0,0.0,0.0
George Holani,RB,3,-0.26,-0.78,10,0,3.33,1.33,33.3,,33.3,SEA,4,0,1,2.5,3.99,1.0,0.0,1.0
Chris Collier,RB,3,,,6,0,2.0,,,,,LVR,2,0,0,3.0,,0.0,0.0,0.0
Myles Gaskin,RB,3,-0.75,-2.25,-1,0,-0.33,1.33,33.3,,,MIN,5,0,0,-0.2,3.99,1.0,0.0,0.0
Tucker Kraft,TE,3,1.09,3.27,6,0,2.0,0.67,,,100.0,GNB,16,16,3,0.4,2.01,0.0,0.0,3.0
