Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,TFL %,Explosive %,First Down %,Team,G,GS,1D,Y/G
Deebo Samuel,RB,42,-0.23,-9.6,136,1,3.24,2.14,11.90%,4.80%,9.50%,SFO,15,15,5,9.1
Jamaal Williams,RB,40,-0.22,-8.67,149,1,3.73,2.25,12.50%,7.50%,22.50%,NOR,13,0,9,11.5
Sincere McCormick,RB,39,0.01,0.45,183,0,4.69,3.0,12.80%,15.40%,25.60%,LVR,5,2,10,36.6
Kendre Miller,RB,39,-0.06,-2.16,148,1,3.79,2.97,17.90%,10.30%,28.20%,NOR,6,2,11,24.7
Ty Johnson,RB,39,0.04,1.6,200,1,5.13,2.36,12.80%,15.40%,28.20%,BUF,16,1,12,12.5
Taysom Hill,TE,39,0.61,23.95,278,6,7.13,3.49,2.60%,10.30%,46.20%,NOR,8,8,18,34.8
Miles Sanders,RB,38,-0.19,-7.26,139,1,3.66,2.58,13.20%,5.30%,23.70%,CAR,10,1,9,13.9
Chris Rodriguez,RB,35,0.18,6.3,173,2,4.94,2.83,2.90%,8.60%,22.90%,WAS,8,0,10,21.6
Tyler Goodson,RB,32,0.08,2.69,153,1,4.78,1.78,9.40%,9.40%,18.80%,IND,15,0,6,10.2
Cordarrelle Patterson,RB,31,-0.24,-7.3,134,0,4.32,3.55,9.70%,16.10%,22.60%,PIT,12,1,7,11.2
D'Ernest Johnson,RB,30,0.01,0.25,117,0,3.9,2.77,10%,6.70%,20%,JAX,13,1,6,9.0
Dare Ogunbowale,RB,28,-0.19,-5.25,115,0,4.11,2.21,17.90%,7.10%,17.90%,HOU,16,1,5,7.2
Isaiah Davis,RB,26,-0.02,-0.57,133,1,5.12,2.23,7.70%,11.50%,23.10%,NYJ,16,0,9,8.3
Pierre Strong,RB,26,-0.1,-2.63,108,0,4.15,1.23,3.80%,3.80%,15.40%,CLE,14,0,6,7.7
Kenny McIntosh,RB,24,-0.09,-2.17,123,0,5.13,2.04,0%,4.20%,20.80%,SEA,16,0,6,7.7
Emari Demercado,RB,24,0.52,12.36,223,1,9.29,7.0,4.20%,25%,33.30%,ARI,13,0,8,17.2
Craig Reynolds,RB,23,-0.09,-2.11,100,0,4.35,1.83,8.70%,8.70%,17.40%,DET,16,0,5,6.3
Hassan Haskins,RB,22,-0.26,-5.82,56,1,2.55,1.0,0%,0%,27.30%,LAC,16,0,8,3.5
Patrick Taylor,RB,22,-0.02,-0.46,74,1,3.36,1.77,0%,0%,13.60%,SFO,12,1,3,6.2
Dameon Pierce,RB,21,0.02,0.49,117,1,5.57,5.14,0%,9.50%,9.50%,HOU,10,0,2,11.7
Jamycal Hasty,RB,20,-0.05,-1.01,69,0,3.45,2.45,10%,5%,20%,NWE,15,0,4,4.6
