Name,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Y/A,Y/G
Kyle Trask,TAM,QB,4,0,5,-4,0,0,0.0,-0.8,-1.0
DJ Turner,LVR,WR,12,6,5,33,1,1,60.0,6.6,2.8
Jonathan Ward,PIT,RB,4,0,5,22,0,1,60.0,4.4,5.5
Malik Washington,MIA,WR,13,3,5,25,1,1,60.0,5.0,1.9
Greg Dortch,ARI,WR,16,4,4,24,0,1,100.0,6.0,1.5
Devin Duvernay,JAX,WR,12,1,4,3,0,1,50.0,0.8,0.3
Josh Johnson,BAL,QB,5,0,4,1,0,0,0.0,0.3,0.2
Adonai Mitchell,IND,WR,16,7,4,6,0,1,50.0,1.5,0.4
Jaxon Smith-Njigba,SEA,WR,16,15,4,22,0,1,75.0,5.5,1.4
Blake Watson,DEN,RB,2,0,4,10,0,2,75.0,2.5,5.0
Christian Watson,GNB,WR,14,14,4,23,0,1,75.0,5.8,1.6
Jordan Addison,MIN,WR,14,14,3,20,1,1,100.0,6.7,1.4
Brandon Allen,SFO,QB,3,1,3,4,0,0,0.0,1.3,1.3
Mark Andrews,BAL,TE,16,12,3,5,0,3,100.0,1.7,0.3
Ja'Marr Chase,CIN,WR,16,15,3,32,0,2,100.0,10.7,2.0
Chris Collier,LVR,RB,2,0,3,6,0,0,0.0,2.0,3.0
Tyrion Davis-Price,PHI,RB,1,0,3,7,0,0,0.0,2.3,7.0
Stefon Diggs,HOU,WR,8,8,3,8,1,1,66.7,2.7,1.0
Demario Douglas,NWE,WR,16,7,3,16,0,0,66.7,5.3,1.0
Darrynton Evans,CHI,RB,4,0,3,3,0,0,33.3,1.0,0.8
Myles Gaskin,MIN,RB,5,0,3,-1,0,0,0.0,-0.3,-0.2
George Holani,SEA,RB,4,0,3,10,0,1,66.7,3.3,2.5
Quentin Johnston,LAC,WR,14,10,3,6,0,0,33.3,2.0,0.4
Tucker Kraft,GNB,TE,16,16,3,6,0,3,100.0,2.0,0.4
Jalen McMillan,TAM,WR,12,11,3,37,0,3,100.0,12.3,3.1
Nick Mullens,MIN,QB,4,0,3,-2,0,0,0.0,-0.7,-0.5
Jalen Nailor,MIN,WR,16,7,3,-4,0,1,33.3,-1.3,-0.3
Rome Odunze,CHI,WR,16,11,3,15,0,1,66.7,5.0,0.9
Ricky Pearsall,SFO,WR,10,3,3,45,0,1,66.7,15.0,4.5
Jalen Reagor,LAC,WR,8,2,3,-3,0,0,0.0,-1.0,-0.4
Wan'Dale Robinson,NYG,WR,16,7,3,18,0,1,33.3,6.0,1.1
Tyrod Taylor,NYJ,QB,2,0,3,13,0,0,66.7,4.3,6.5
Jaylen Waddle,MIA,WR,14,14,3,6,0,0,66.7,2.0,0.4
Carson Wentz,KAN,QB,2,0,3,0,0,0,0.0,0.0,0.0
Tim Boyle,2TM,QB,3,0,3,9,0,1,66.7,3.0,3.0
Tim Boyle,MIA,QB,2,0,2,10,0,1,100.0,5.0,5.0
Tim Boyle,NYG,QB,1,0,1,-1,0,0,0.0,-1.0,-1.0
Velus Jones Jr.,2TM,WR,3,0,3,11,0,1,66.7,3.7,3.7
Velus Jones Jr.,CHI,WR,1,0,2,11,0,1,100.0,5.5,11.0
Velus Jones Jr.,CAR,WR,2,0,1,0,0,0,0.0,0.0,0.0
Tutu Atwell,LAR,WR,16,4,2,7,0,0,50.0,3.5,0.4
Dyami Brown,WAS,WR,15,2,2,18,0,1,100.0,9.0,1.2
Jake Browning,CIN,QB,3,0,2,-2,0,0,0.0,-1.0,-0.7
Treylon Burks,TEN,WR,5,2,2,1,0,0,50.0,0.5,0.2
Brandin Cooks,DAL,WR,9,8,2,2,0,0,50.0,1.0,0.2
Malachi Corley,NYJ,WR,9,1,2,26,0,1,100.0,13.0,2.9
Troy Franklin,DEN,WR,15,6,2,8,0,0,50.0,4.0,0.5
Reggie Gilliam,BUF,FB,14,0,2,3,0,0,0.0,1.5,0.2
C.J. Ham,MIN,FB,16,3,2,10,1,1,100.0,5.0,0.6
Taylor Heinicke,LAC,QB,4,0,2,20,0,1,50.0,10.0,5.0
Diontae Johnson,2TM,WR,11,8,2,6,0,1,50.0,3.0,0.5
Diontae Johnson,CAR,WR,7,7,2,6,0,1,50.0,3.0,0.9
Diontae Johnson,BAL,WR,4,1,0,0,0,0,,,0.0
Kameron Johnson,TAM,WR,5,0,2,11,0,1,50.0,5.5,2.2
Cooper Kupp,LAR,WR,12,11,2,10,0,1,50.0,5.0,0.8
Tyreik McAllister,LVR,WR,3,0,2,11,0,1,50.0,5.5,3.7
Tanner McKee,PHI,QB,1,0,2,-2,0,0,0.0,-1.0,-2.0
Terry McLaurin,WAS,WR,16,16,2,2,0,0,0.0,1.0,0.1
Jakobi Meyers,LVR,WR,14,14,2,23,0,1,50.0,11.5,1.6
Jonathan Mingo,2TM,WR,16,6,2,5,0,0,0.0,2.5,0.3
Jonathan Mingo,CAR,WR,9,5,2,5,0,0,0.0,2.5,0.6
Jonathan Mingo,DAL,WR,7,1,0,0,0,0,,,0.0
George Pickens,PIT,WR,13,11,2,-6,0,0,50.0,-3.0,-0.5
Kalif Raymond,DET,WR,11,2,2,0,0,1,50.0,0.0,0.0
Khalil Shakir,BUF,WR,15,9,2,4,0,0,0.0,2.0,0.3
Darius Slayton,NYG,WR,15,12,2,17,0,1,100.0,8.5,1.1
Jonnu Smith,MIA,TE,16,5,2,-1,0,0,0.0,-0.5,-0.1
Xavier Smith,LAR,WR,14,0,2,30,0,1,100.0,15.0,2.1
Amon-Ra St. Brown,DET,WR,16,16,2,6,0,1,50.0,3.0,0.4
